"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
3.309829000E-2	2.194779968E1	3.261059952E1	3.362319946E1	5.172694321E1
4.308535100E-2	2.210639954E1	3.191519928E1	3.555080032E1	5.264154490E1
5.309829000E-2	1.933699989E1	3.020719910E1	3.609980011E1	5.088801441E1
6.309853400E-2	2.027639961E1	3.109779930E1	3.548979950E1	5.135884901E1
7.309829000E-2	2.294820023E1	3.202499771E1	3.562400055E1	5.311581485E1
8.310097600E-2	2.164279938E1	3.118319893E1	3.451379776E1	5.130306907E1
9.308559500E-2	1.587220001E1	3.047559929E1	3.203720093E1	4.697947561E1
1.030980460E-1	2.206979942E1	3.154920006E1	3.389159775E1	5.129394183E1
1.130980460E-1	1.922719955E1	3.009739876E1	2.474160004E1	4.344750151E1
1.230980460E-1	2.438780022E1	3.231779861E1	3.462360001E1	5.327286912E1
1.330978020E-1	2.055699921E1	3.123199844E1	3.336700058E1	5.011371739E1
1.430978020E-1	2.387539864E1	3.202499771E1	3.629499817E1	5.397186332E1
1.530982900E-1	2.209420013E1	3.148819923E1	3.520919800E1	5.214736805E1
1.630853510E-1	2.086199951E1	3.103679848E1	3.456259918E1	5.092228535E1
1.730980460E-1	2.237479973E1	3.209819794E1	3.459920120E1	5.223055330E1
1.831002430E-1	2.321660042E1	3.195179939E1	3.484320068E1	5.266855469E1
1.930978020E-1	2.075219917E1	2.979240036E1	3.655120087E1	5.151923111E1
2.030980460E-1	2.233819962E1	3.134179878E1	3.444059753E1	5.164744206E1
2.130975580E-1	2.286279869E1	3.286679840E1	3.401359940E1	5.253435966E1
2.230978020E-1	2.282620049E1	3.147599983E1	3.528239822E1	5.250353910E1
2.330851070E-1	2.160619926E1	3.103679848E1	3.507500076E1	5.157873966E1
2.430980460E-1	2.116699982E1	3.176879883E1	3.556299973E1	5.217303336E1
2.530980460E-1	2.163059998E1	3.147599983E1	3.563619995E1	5.223562164E1
2.630980460E-1	2.318000031E1	3.136619949E1	3.702700043E1	5.377870996E1
2.730982900E-1	2.481480026E1	3.203720093E1	3.761259842E1	5.528891494E1
2.830943840E-1	2.647399902E1	3.278139877E1	3.807619858E1	5.679163343E1
2.930978020E-1	2.657159996E1	3.257399750E1	3.824699783E1	5.683263218E1
