"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.303200100E-2,1.751919937E1,-3.845439911E1,-2.398519897E1,4.858963807E1
4.301955000E-2,1.764119911E1,-3.784439850E1,-2.419260025E1,4.825652609E1
5.301906100E-2,1.866600037E1,-3.740520096E1,-2.468059921E1,4.854586085E1
6.301930500E-2,1.821459961E1,-3.791759872E1,-2.338739967E1,4.812989087E1
7.301955000E-2,1.871479988E1,-3.783219910E1,-2.360700035E1,4.836123953E1
8.301955000E-2,1.162659931E1,-3.967440033E1,-3.470899963E1,5.398101989E1
9.301930500E-2,1.494499969E1,-3.988179779E1,-3.079279900E1,5.255575402E1
1.030188170E-1,1.909300041E1,-3.742959976E1,-2.392420006E1,4.835167992E1
1.130195500E-1,1.634799957E1,-3.827140045E1,-3.405019760E1,5.377149002E1
1.230190610E-1,1.760459900E1,-3.829579926E1,-2.897500038E1,5.114724620E1
1.330190610E-1,2.041059875E1,-3.701480103E1,-2.303359985E1,4.813766466E1
1.430195500E-1,1.816580009E1,-3.799079895E1,-2.381439972E1,4.837791575E1
1.530193050E-1,1.831220055E1,-3.812500000E1,-2.309459877E1,4.818934328E1
1.630322450E-1,1.759239960E1,-3.829579926E1,-2.335079956E1,4.818008514E1
1.730320010E-1,1.772659874E1,-3.786880112E1,-2.383880043E1,4.813072622E1
1.830320010E-1,1.892219925E1,-3.742959976E1,-2.407059860E1,4.835719471E1
1.930188170E-1,1.672620010E1,-3.802740097E1,-2.503439903E1,4.850330019E1
2.030315130E-1,1.870260048E1,-3.790539932E1,-2.326539993E1,4.824816470E1
2.130197940E-1,2.003240013E1,-3.760039902E1,-2.321660042E1,4.851904365E1
2.230317570E-1,1.926379967E1,-3.747840118E1,-2.310680008E1,4.805880505E1
2.330317570E-1,1.875139999E1,-3.750279999E1,-2.366799927E1,4.814820036E1
2.430317570E-1,2.019099998E1,-3.716119766E1,-2.305799866E1,4.816951727E1
2.530317570E-1,1.825119972E1,-3.752719879E1,-2.389979935E1,4.808947233E1
2.630317570E-1,1.854399872E1,-3.740520096E1,-2.374119949E1,4.802784089E1
2.730322450E-1,1.681159973E1,-3.769799805E1,-2.411940002E1,4.780705387E1
2.830188170E-1,1.703120041E1,-3.778339767E1,-2.382659912E1,4.780537368E1
2.930193050E-1,1.781200027E1,-3.740520096E1,-2.370459938E1,4.773179699E1
3.030312680E-1,1.644560051E1,-3.778339767E1,-2.418039894E1,4.777797200E1
3.130317570E-1,1.681159973E1,-3.744179916E1,-2.405839920E1,4.757441310E1
3.230317570E-1,1.644560051E1,-3.702700043E1,-2.479039955E1,4.749758359E1
3.330317570E-1,1.576239967E1,-3.717340088E1,-2.643739891E1,4.826231488E1
3.430315130E-1,1.567700005E1,-3.684399796E1,-2.522959900E1,4.732632652E1
3.530278500E-1,1.576239967E1,-3.656340027E1,-2.559560013E1,4.733360570E1
3.630317570E-1,1.556719971E1,-3.613639832E1,-2.607139969E1,4.720058126E1
3.730320010E-1,1.571360016E1,-3.534339905E1,-2.555900002E1,4.636092717E1
3.830320010E-1,1.456680012E1,-3.631940079E1,-2.552239990E1,4.671919772E1
3.930276060E-1,1.359079933E1,-3.633160019E1,-2.727919960E1,4.742203844E1
4.030317570E-1,1.326139927E1,-3.578260040E1,-2.824300003E1,4.747553320E1
4.130317570E-1,1.405439949E1,-3.491640091E1,-2.629100037E1,4.591184921E1
4.230317570E-1,1.437160015E1,-3.508720016E1,-2.703520012E1,4.656776301E1
4.330322450E-1,1.400559998E1,-3.517259979E1,-2.721819878E1,4.662723401E1
4.430320010E-1,1.435939980E1,-3.447719955E1,-2.652279854E1,4.580751569E1
4.530317570E-1,1.374940014E1,-3.422100067E1,-2.770619965E1,4.612760984E1
4.630320010E-1,1.302960014E1,-3.414780045E1,-2.834059906E1,4.624967362E1
4.730320010E-1,1.339559937E1,-3.380619812E1,-2.821859932E1,4.602814858E1
4.830317570E-1,1.287099934E1,-3.383060074E1,-2.877979851E1,4.624336679E1
4.930280950E-1,1.322480011E1,-3.431859970E1,-2.803559875E1,4.624560975E1
5.030193050E-1,1.301739979E1,-3.396479797E1,-2.805999947E1,4.593934881E1
5.130317570E-1,1.302960014E1,-3.396479797E1,-2.784039879E1,4.580901424E1
5.230320010E-1,1.417640018E1,-3.348899841E1,-2.765740013E1,4.568823830E1
5.330190610E-1,1.377379990E1,-3.346459961E1,-2.787699890E1,4.568067489E1
5.430317570E-1,1.322480011E1,-3.331819916E1,-2.858459854E1,4.584841335E1
5.530317570E-1,1.439599991E1,-3.234220123E1,-2.818199921E1,4.524917539E1
5.630320010E-1,1.234639931E1,-3.274480057E1,-2.936540031E1,4.568350113E1
5.730193050E-1,1.222439957E1,-3.317179871E1,-2.854800034E1,4.543998787E1
5.830193050E-1,1.189499950E1,-3.286679840E1,-2.945079994E1,4.570631321E1
5.930185730E-1,1.188280010E1,-3.301319885E1,-2.845039940E1,4.517186583E1
6.030320010E-1,1.173639965E1,-3.230559921E1,-3.004859924E1,4.565427837E1
6.130317570E-1,1.171199989E1,-3.276919937E1,-2.876759911E1,4.515048313E1
6.230315130E-1,1.143139935E1,-3.274480057E1,-2.991440010E1,4.580142125E1
6.330315130E-1,1.180959988E1,-3.223239899E1,-2.918239975E1,4.505559509E1
6.430200380E-1,1.169979954E1,-3.220800018E1,-3.008519936E1,4.559999787E1
6.530317570E-1,1.105319977E1,-3.222019958E1,-2.980459976E1,4.526177917E1
6.630317570E-1,1.100440025E1,-3.218359756E1,-2.938979912E1,4.495154135E1
6.730322450E-1,1.148019981E1,-3.198839951E1,-2.931659889E1,4.488335617E1
6.830327330E-1,1.096780014E1,-3.201279831E1,-2.965819931E1,4.499689636E1
6.930317570E-1,9.296400070E0,-3.232999802E1,-3.043899918E1,4.536721831E1
7.030315130E-1,1.132159996E1,-3.136619949E1,-3.058539963E1,4.524913001E1
7.130188170E-1,1.156559944E1,-3.095139885E1,-3.029259872E1,4.482626148E1
7.230315130E-1,1.144359970E1,-3.089039993E1,-2.979240036E1,4.441576186E1
7.330317570E-1,1.002839947E1,-3.134179878E1,-3.080500031E1,4.507577166E1
7.430317570E-1,1.091899967E1,-3.129299927E1,-2.918239975E1,4.415980992E1
7.530317570E-1,1.061399937E1,-3.067079926E1,-3.026819992E1,4.437926133E1
7.630317570E-1,1.046759987E1,-3.096360016E1,-3.120759964E1,4.519103293E1
7.730320010E-1,9.284199715E0,-3.084159851E1,-3.164679909E1,4.515440682E1
7.830254090E-1,1.039439964E1,-3.081719971E1,-3.017059898E1,4.436224053E1
7.930317570E-1,1.057740021E1,-3.074399948E1,-3.058539963E1,4.463789388E1
8.030317570E-1,9.491600037E0,-3.100020027E1,-3.101239967E1,4.486504008E1
8.130317570E-1,1.099219990E1,-3.043899918E1,-3.075619888E1,4.464644330E1
8.230197940E-1,1.021140003E1,-3.064639854E1,-3.036579895E1,4.433459349E1
8.330312680E-1,9.747799873E0,-3.052439880E1,-3.084159851E1,4.447429284E1
8.430317570E-1,1.162659931E1,-2.998760033E1,-3.113439941E1,4.476365503E1
8.530317570E-1,9.589200020E0,-3.032919884E1,-3.232999802E1,4.535462304E1
8.630317570E-1,1.106540012E1,-3.041459846E1,-3.129299927E1,4.501935898E1
8.730317570E-1,1.166319942E1,-2.991440010E1,-3.070739937E1,4.442798589E1
8.830190610E-1,1.177299976E1,-2.987779999E1,-3.036579895E1,4.419692525E1
8.930224790E-1,1.168760014E1,-2.959719849E1,-3.087819862E1,4.434024476E1
9.030320010E-1,1.157779980E1,-2.976799965E1,-3.010960007E1,4.389495720E1
9.130317570E-1,1.088239956E1,-2.998760033E1,-3.153699875E1,4.485827776E1
9.230317570E-1,1.185839939E1,-2.909700012E1,-3.128079987E1,4.433672848E1
9.330317570E-1,1.166319942E1,-2.973139954E1,-3.042679977E1,4.411095650E1
9.430315130E-1,1.177299976E1,-2.962159920E1,-3.074399948E1,4.428584612E1
9.530320010E-1,1.082139969E1,-3.026819992E1,-3.062199974E1,4.439564715E1
9.630190610E-1,1.151679993E1,-2.960939980E1,-3.114659882E1,4.449116603E1
