"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
3.444792200E-2	2.571759987E1	-6.312279892E1	-4.443239975E1	8.136412498E1
4.445549000E-2	2.596159935E1	-6.264699936E1	-4.470079803E1	8.122076406E1
5.445573400E-2	2.593719864E1	-6.264699936E1	-4.513999939E1	8.145553601E1
6.445524600E-2	2.665699959E1	-6.265919876E1	-4.516439819E1	8.171042578E1
7.445573400E-2	2.587619972E1	-6.304959869E1	-4.505459976E1	8.169912219E1
8.445573400E-2	2.593719864E1	-6.339119720E1	-4.452999878E1	8.169518314E1
9.445573400E-2	2.588839912E1	-6.292759705E1	-4.389559937E1	8.097478202E1
1.044554900E-1	2.649839973E1	-6.297639847E1	-4.449340057E1	8.153437709E1
1.144559780E-1	2.275300026E1	-6.400119781E1	-5.363119888E1	8.654569796E1
1.244484100E-1	2.679119873E1	-6.253719711E1	-4.483499908E1	8.147911693E1
1.344552460E-1	2.602260017E1	-6.279339981E1	-4.561579895E1	8.185956202E1
1.444552460E-1	2.644960022E1	-6.287879944E1	-4.451779938E1	8.145648674E1
1.544554900E-1	2.665699959E1	-6.272019958E1	-4.472520065E1	8.151541349E1
1.644554900E-1	2.561999893E1	-6.315939713E1	-4.466419983E1	8.148855464E1
1.744554900E-1	2.492459869E1	-6.343999863E1	-4.532299805E1	8.185379159E1
1.844559780E-1	2.441219902E1	-6.328139877E1	-4.537179947E1	8.160325409E1
1.944557340E-1	2.564439964E1	-6.326919937E1	-4.506679916E1	8.180246457E1
2.044554900E-1	2.597379875E1	-6.281779861E1	-4.465200043E1	8.132966978E1
2.144557340E-1	2.588839912E1	-6.286660004E1	-4.444459915E1	8.122647969E1
2.244462130E-1	2.490019989E1	-6.308619690E1	-4.496920013E1	8.137639187E1
2.344554900E-1	2.635199928E1	-6.267139816E1	-4.481060028E1	8.142556055E1
2.444552460E-1	2.625440025E1	-6.302519989E1	-4.399319839E1	8.122112323E1
2.544554900E-1	2.513199997E1	-6.329359818E1	-4.551819992E1	8.191216953E1
2.644557340E-1	2.658379936E1	-6.269579697E1	-4.463980103E1	8.142587538E1
2.744559780E-1	2.587619972E1	-6.311059952E1	-4.450559998E1	8.144491336E1
2.844554900E-1	2.419260025E1	-6.342779922E1	-4.539619827E1	8.166506254E1
2.944557340E-1	2.468059921E1	-6.347660065E1	-4.483499908E1	8.153887386E1
3.044559780E-1	2.505879974E1	-6.333020020E1	-4.488380051E1	8.156723147E1
3.144557340E-1	2.622999954E1	-6.296419907E1	-4.510339737E1	8.177297655E1
3.244552460E-1	2.640079880E1	-6.302519989E1	-4.439579773E1	8.148720669E1
3.344430390E-1	2.526619911E1	-6.324480057E1	-4.451779938E1	8.136412033E1
3.444552460E-1	2.491239929E1	-6.325699997E1	-4.515219879E1	8.161370436E1
3.544554900E-1	2.438780022E1	-6.335459900E1	-4.537179947E1	8.165274154E1
3.644554900E-1	2.483919907E1	-6.347660065E1	-4.511560059E1	8.174155648E1
3.744559780E-1	2.460739899E1	-6.345219803E1	-4.496920013E1	8.157165243E1
3.844554900E-1	2.492459869E1	-6.319599915E1	-4.537179947E1	8.169192197E1
3.944559780E-1	2.443659973E1	-6.346439743E1	-4.533519745E1	8.173222911E1
4.044554900E-1	2.518079948E1	-6.303739929E1	-4.459099960E1	8.121664619E1
4.144559780E-1	2.416819954E1	-6.364739990E1	-4.427379990E1	8.121122300E1
4.244476770E-1	2.420479965E1	-6.368399811E1	-4.512779999E1	8.171928948E1
4.344554900E-1	2.421699905E1	-6.353759766E1	-4.590859985E1	8.204321361E1
4.444557340E-1	2.498559952E1	-6.336679840E1	-4.445679855E1	8.133903282E1
4.544550020E-1	2.516860008E1	-6.328139877E1	-4.474959946E1	8.148938896E1
4.644550020E-1	2.474160004E1	-6.333020020E1	-4.462759781E1	8.132947507E1
4.744552460E-1	2.449759865E1	-6.337899780E1	-4.446899796E1	8.120665909E1
4.844554900E-1	2.420479965E1	-6.368399811E1	-4.501799774E1	8.165870475E1
4.944554900E-1	2.447319984E1	-6.313499832E1	-4.506679916E1	8.133868643E1
5.044559780E-1	2.538819885E1	-6.295199966E1	-4.423719788E1	8.102126004E1
5.144427950E-1	2.482699966E1	-6.304959869E1	-4.499359894E1	8.133914035E1
5.244423060E-1	2.482699966E1	-6.312279892E1	-4.455439758E1	8.115394014E1
5.344552460E-1	2.468059921E1	-6.336679840E1	-4.399319839E1	8.099311466E1
5.444552460E-1	2.520520020E1	-6.320819855E1	-4.432259750E1	8.121004328E1
5.544554900E-1	2.377779961E1	-6.397679901E1	-4.483499908E1	8.166144567E1
5.644552460E-1	2.365579987E1	-6.334239960E1	-4.544499969E1	8.146842610E1
5.744554900E-1	2.425359917E1	-6.353759766E1	-4.503020096E1	8.156581629E1
5.844554900E-1	2.604699898E1	-6.309840012E1	-4.435919952E1	8.141002908E1
5.944559780E-1	2.599819946E1	-6.275679779E1	-4.477399826E1	8.135743952E1
6.044557340E-1	2.649839973E1	-6.280559921E1	-4.409079742E1	8.118316881E1
6.144469450E-1	2.686439896E1	-6.246399689E1	-4.385899734E1	8.091389551E1
6.244557340E-1	2.498559952E1	-6.361079788E1	-4.440800095E1	8.150266461E1
6.344550020E-1	2.415600014E1	-6.364739990E1	-4.460319901E1	8.138764782E1
6.444554900E-1	2.300919914E1	-6.412319946E1	-4.467639923E1	8.146894257E1
6.544552460E-1	2.294820023E1	-6.451359558E1	-4.482279968E1	8.183952150E1
6.644554900E-1	2.482699966E1	-6.336679840E1	-4.427379990E1	8.119051921E1
6.744554900E-1	2.372900009E1	-6.308619690E1	-4.407859802E1	8.053481538E1
6.844554900E-1	2.471719933E1	-6.323259735E1	-4.433480072E1	8.108560825E1
6.944559780E-1	2.437559891E1	-6.292759705E1	-4.524979782E1	8.125020920E1
7.044557340E-1	2.515639877E1	-6.298859787E1	-4.341979980E1	8.053376234E1
7.144435270E-1	2.419260025E1	-6.350099945E1	-4.494479752E1	8.147204221E1
7.244552460E-1	2.337520027E1	-6.346439743E1	-4.549379730E1	8.150960264E1
7.344554900E-1	2.601039886E1	-6.213459778E1	-4.393219757E1	8.041944462E1
7.444554900E-1	2.504660034E1	-6.296419907E1	-4.442020035E1	8.102454413E1
7.544554900E-1	2.479039955E1	-6.362299728E1	-4.510339737E1	8.183377144E1
7.644430390E-1	2.459519958E1	-6.352539825E1	-4.473740005E1	8.149745413E1
7.744552460E-1	2.461960030E1	-6.369619751E1	-4.446899796E1	8.149123925E1
7.844557340E-1	2.414379883E1	-6.357419968E1	-4.548159790E1	8.181184287E1
7.944554900E-1	2.420479965E1	-6.336679840E1	-4.562799835E1	8.175045993E1
8.044559780E-1	2.521739960E1	-6.339119720E1	-4.461539841E1	8.151622477E1
8.144425500E-1	2.535159874E1	-6.320819855E1	-4.483499908E1	8.153623161E1
8.244554900E-1	2.481480026E1	-6.362299728E1	-4.455439758E1	8.153989477E1
8.344552460E-1	2.492459869E1	-6.375719833E1	-4.449340057E1	8.164483238E1
