"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.667365500E-2,1.000399971E1,-4.961739731E1,-1.427399993E0,5.063599112E1
4.667682800E-2,1.036999989E1,-4.908060074E1,-2.854799986E0,5.024531968E1
5.667707200E-2,1.067500019E1,-4.888539886E1,-3.037799835E0,5.012949311E1
6.667682800E-2,1.026019955E1,-4.904399872E1,-3.757599831E0,5.024644327E1
7.666413300E-2,1.069939995E1,-4.867799759E1,-4.269999981E0,5.002256999E1
8.667682800E-2,9.796599388E0,-4.936119843E1,-4.562799931E0,5.053039098E1
9.667682800E-2,1.046759987E1,-4.919039917E1,-5.514400005E0,5.059322707E1
1.066792700E-1,1.033339977E1,-4.887319946E1,-5.502200127E0,5.025577562E1
1.166768280E-1,7.856800079E0,-4.993460083E1,-1.520119953E1,5.278513176E1
1.266770720E-1,9.625800133E0,-4.890979767E1,-6.539199829E0,5.027509792E1
1.366773170E-1,8.393599510E0,-4.978820038E1,-7.417599678E0,5.103271690E1
1.466648650E-1,8.796199799E0,-4.942219925E1,-8.698599815E0,5.094695818E1
1.566768280E-1,8.661999702E0,-4.936119843E1,-8.418000221E0,5.081752529E1
1.666765840E-1,8.247200012E0,-4.965399933E1,-8.234999657E0,5.100344279E1
1.766768280E-1,8.954799652E0,-4.934899902E1,-9.210999489E0,5.099367268E1
1.866768280E-1,9.186599731E0,-4.912939835E1,-9.528200150E0,5.088101802E1
1.966770720E-1,8.149600029E0,-4.981259918E1,-9.308599472E0,5.132602695E1
2.066765840E-1,7.942199707E0,-4.950759888E1,-1.105319977E1,5.134446521E1
2.166773170E-1,5.721799850E0,-5.003219986E1,-1.322480011E1,5.206587514E1
2.266773170E-1,9.296400070E0,-4.862919998E1,-1.112639999E1,5.074464427E1
2.366643770E-1,1.097999954E1,-4.781179810E1,-1.055299950E1,5.017862319E1
2.466768280E-1,1.082139969E1,-4.843399811E1,-1.100440025E1,5.083356852E1
2.566768280E-1,1.265139961E1,-4.760440063E1,-1.094339943E1,5.045785234E1
2.666651100E-1,9.394000053E0,-4.901959991E1,-1.133379936E1,5.118225689E1
2.766770720E-1,9.881999969E0,-4.839739990E1,-1.069939995E1,5.054146219E1
2.866643770E-1,1.028460026E1,-4.820219803E1,-1.226099968E1,5.078933953E1
2.966768280E-1,1.012599945E1,-4.864139938E1,-1.243179989E1,5.121592767E1
3.066768280E-1,1.200479984E1,-4.806800079E1,-1.100440025E1,5.075179548E1
3.166770720E-1,1.454239941E1,-4.733599854E1,-8.686399460E0,5.027555742E1
3.266770720E-1,1.313939953E1,-4.804359818E1,-9.210999489E0,5.065247928E1
3.366643770E-1,1.339559937E1,-4.781179810E1,-8.759599686E0,5.041964603E1
3.466770720E-1,1.268799973E1,-4.816559982E1,-9.296400070E0,5.066886024E1
3.566768280E-1,1.322480011E1,-4.764099884E1,-8.735199928E0,5.020820477E1
3.666768280E-1,1.270020008E1,-4.784840012E1,-9.686800003E0,5.044401421E1
3.766770720E-1,1.410319996E1,-4.732379913E1,-9.442799568E0,5.027532871E1
3.866768280E-1,1.348099995E1,-4.721400070E1,-9.845399857E0,5.007824997E1
3.966768280E-1,1.470099926E1,-4.744580078E1,-9.698999405E0,5.060922821E1
4.066768280E-1,1.655539894E1,-4.655519867E1,-9.760000229E0,5.036591468E1
